"","egal1","egal2","egal3","egal","indiv1","indiv2","indiv3","indiv","hier1","hier2","hier3","hier","fatal1","fatal2","fatal3","fatal","nep2","nep3","nep6","nepScale","ideology","partisan","happening","risk","sciconsensus","IntAgree","Renew","Nuclear","Tax","EPA","CapTrade","GeoEng"
"1087",7,7,6,7,1,2,4,2,4,2,6,4,4,5,1,3,7,6,7,6,6,4,3,9,1,6,7,5,7,7,7,5
"1088",4,4,1,3,7,7,6,7,7,6,7,7,4,7,4,5,4,1,4,3,4,4,-3,3,0,1,4,4,7,4,4,4
"1089",5,3,6,5,5,5,4,5,3,4,3,3,4,4,2,3,5,6,7,6,4,4,4,10,1,7,7,5,5,7,4,7
"1090",4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,6,4,3,5,1,5,4,3,3,4,4,4
"1091",5,7,7,6,2,3,5,3,5,1,4,3,3,2,3,3,7,7,7,6,2,1,4,10,1,7,7,4,7,7,6,7
"1092",NA,7,7,NA,3,4,5,4,5,2,3,3,2,3,5,3,7,7,7,5,2,1,4,9,1,6,7,1,7,7,6,NA
"1093",3,5,2,3,2,5,5,4,6,5,7,6,1,2,1,1,7,7,7,6,2,1,4,8,1,7,7,6,6,7,7,7
"1094",4,5,3,4,5,4,5,5,4,3,6,4,5,4,4,4,5,4,5,4,6,1,3,5,0,4,4,5,4,5,5,5
"1095",4,4,4,4,4,5,2,4,4,4,6,5,5,5,4,5,5,3,6,4,2,3,3,5,0,6,6,6,6,6,5,6
"1096",6,7,6,6,1,1,1,1,5,6,5,5,2,3,1,2,6,6,6,6,2,1,3,8,1,7,7,5,6,7,5,5
"1097",3,5,3,4,5,4,6,5,6,5,4,5,3,3,3,3,6,5,6,5,NA,6,2,8,1,5,6,6,5,6,5,6
"1098",1,5,3,3,5,5,5,5,6,6,5,6,4,5,3,4,3,4,4,4,7,6,-3,1,0,4,2,5,2,4,4,4
"1099",2,4,2,3,6,5,6,6,5,5,5,5,2,1,2,2,7,2,5,4,7,7,-2,0,0,4,7,3,2,5,1,2
"1100",1,2,1,1,4,4,7,5,7,7,7,7,4,1,1,2,2,1,2,2,7,5,0,1,0,1,6,6,1,2,2,3
"1101",7,7,5,6,2,3,2,2,4,5,7,5,2,7,2,4,7,7,7,6,2,4,4,9,0,7,7,2,6,7,6,6
"1102",5,5,4,5,2,4,4,3,3,5,4,4,4,4,5,4,6,5,6,5,2,4,2,8,0,4,7,4,6,5,6,5
